"ref_id","fault_id","name"
275,"998ef","Hurricane fault zone (southern)"
293,"newWA1","Lake Creek-Boundary Creek fault"
294,"newWA2","Stonewall anticline"
295,"newwa3","Boulder Creek fault, Kendall scarp"
276,"NV1","Coaldale fault 1"
277,"NV2","Coaldale fault 2"
278,"NV3","Petersen Mountain fault 2"
279,"NV4","Western Smoke Creek Desert fault 2"
280,"OR1","Gales Creek fault zone"
281,"OR3","Newberg fault"
282,"OR4","Sandy River fault zone"
292,"WA1","Rattlesnake-Wallula fault system"
